Command,Occurrences,Tags,Primary Description
setup_rag,1,"rag, retrieval augmented generation, nlp, context, setup","Setup a Retrieval Augmented Generation (RAG) system to utilize a 2,000,000 word context dump."
math_operation,2,"math, operation, steps, arithmetic","Define a 'math_operation' command that takes a number and an operation (e.g., multiply, divide, add, subtract) and performs it. Allow specifying the number of substeps the operation should be broken down into."
do,2,"process, sequence, range, execute, iteration, automation, execution","Create a 'do' command to iterate over a specified range (e.g., 'do 4.1 to 4.50') and perform an action or series of actions on each item in the sequence. The action to be performed would need to be defined or passed as an argument to the 'do' command."
create_github_repo,1,"version_control, github, automation, repository",Create a new GitHub repository named 'corporag' and provide the link.
range_operation,1,"operation, sequence, range, numerical","Define a command to apply an operation to a sequence of numerical ranges (e.g., 5.1 to 5.50, then 6.1 to 6.50). The operation to be applied needs to be specified upon command invocation."
grid_data_process,1,"git, plotting, file size, grid, data processing","Run the grid script, fill all blanks up to 500, run a file size check on the first 500, create a scatter plot, and push the changes to Git."
explain_relational_map,1,"advanced, explanation, documentation, beginner, relational map","Explain a relational map file in exhaustive depth, catering to both beginner and advanced user understanding."
image_analysis,1,"analysis, image, vision, anomaly, png",Implement a command that takes a PNG image as input and reports any detected anomalies.
regenerate_graph,1,"regeneration, graph, image",Regenerate a graph with specified parameters. Example: `regenerate_graph sizes.png -n 500`
implement_tooling_automation,1,"workflow, productivity, automation, tooling","Implement the tooling and automation steps 8.31 through 8.40 covering the ""Tooling & Automation (The Help)"" phase. Specifically: 8.31 Calendar Blocker: Auto-blocking ""Focus Time"" via Clockwise or Reclaim.ai. 8.32 Status Sync: Automatically syncing Slack status with Calendar events. 8.33 Notification Tuning: Disabling @here/@channel mentions globally. 8.34 Async Standup Tool: Implementing Geekbot or Tuple for text-based standups. 8.35 Documentation First: Enforcing a ""Search before asking"" culture."
filter,1,"amount, filter, zero, data",Create a 'filter' command to exclude data entries where the amount is 0.
db_stats,1,"database, statistics, monitoring",Provide a command to display database statistics.
parse_status,2,"status, parsing, metrics, monitoring",A request to create a command for parsing structured status reports like: '💚023🔴017%🟡000/000📊004/019❌19📶5.6/4.4🚀0.2/0.2👷1⏱️02m11s/61m@10:18⛔E201🌐99uber.com'
format_stats,1,"formatting, layout, statistics, data_visualization","Create a command that formats and displays statistics based on a specific layout (e.g., '💚023🔴017%🟡000/000📊004/019❌19📶5.6/4.4🚀0.2/0.2👷1⏱️02m11s/61m@10:18⛔E201🌐99uber.com')"
document,2,"textual tui, animation, ascii, file, graphs, description",van you demonstrate the other libraries like especially ascii or animation but also the hi res graphs within the textual tui
animate_shape_colors,1,"visualization, animation, color, shape","Create a command that animates a given shape, cycling it through a set of defined colors."
remove_clusters,1,"remove, cluster, management",Implement command to remove clusters.
conductor:implement,1,"track, conductor, development, implementation, workflow","Protocol for implementing a track in the Conductor framework, including setup verification, track selection, implementation steps, documentation synchronization, and cleanup options."
bonuses,1,"bonus, information",Retrieve the list of 9 new bonuses.
readme,2,"usage, readme, help, documentation",Generate a README file to explain how to use the system or a specific command.
rerun,1,"rerun, automation, error_handling, retry",Implement a 'rerun' command that retries execution on items previously marked as 'unknown' or 'failed'.
browse_github,1,"github, repository, code, browse, navigation",User requested to check a Github repository: https://github.com/slap-red-git/symmetrical-chainsaw/tree/master
auth,1,"security, authentication",/auth: Initiate authentication process
check_registration,2,"registration, url, login, username, extraction, check, manager",Implement a command that utilizes the URL manager's login functionality to extract the username and subsequently determine if a specific identifier (aside) is registered or unregistered.
check_urls,1,"urls, phase1, validation",New URLs to check are located in in/newurls.txt. The context is 'phase 1'.
analyze_screenshot,1,"screenshot, analysis, visual, image",User intends to provide a screenshot (settingspage.png) for analysis.
emulate,3,"virtualization, simulation, imitation",Create a command to emulate a system or process.
improve_tui,2,"file navigation, default library, feature request, usability, tui, interface, ux, configuration, navigation","The TUI should be improved with a default library for navigating directories, selecting files, and easier configuration."
time_remaining,2,"estimation, time, remaining, progress",Implement a 'time_remaining' command that estimates the time remaining for a given task or process.
expand_prompts,1,"prompts, questions, expansion, generation, library","Expand the prompts library by first gathering information about existing prompts through a series of questions, and then using that information to generate new prompts."
prompt_expansion,1,"prompt engineering, content generation, file management, iteration, prompt refinement","Create a command that takes a set of prompts as input, saves each prompt to a separate file, and then performs two improvement and expansion passes on each prompt. Each pass should add 2-4 questions to each prompt."
analyze_logs,3,"system_prompt, prompt_engineering, gemini, HTML, Procedural Spectrum Designer, JS, context_extraction, logs, debugging","Act as a Senior Web Systems Architect and Creative Developer.   I want you to build a ""Procedural Spectrum Designer"" as a single-file HTML/JS application, but BEFORE you write the code, you must analy"
answer_options,1,"inverse, options, interaction, button, multiple choice",Provide a command to handle multiple-choice options and include an 'inverse' button functionality where applicable.
customize_report,1,"network, aggregate, format, telemetry, historical, health, metrics, customization, report","Create a command 'customize_report' that allows users to modify the finalization report. The command should accept arguments to control the following:  *   Arrange 'telemetry' and 'network' sections next to each other. *   Rename 'Health Status' to 'Health'. *   Define the health status levels to be displayed as 4 lines: 'bad', 'okay', 'good', 'great'. *   Remove any extraneous characters (e.g., '[/') from the report. *   Include detailed metrics for the run and aggregate/historical data in the finalization report."
step_control,1,"step control, process control, stepped, smooth, limit, configuration",Enable smooth and stepped control with the ability to add or remove steps and remove the limit of 18.
overgrown,2,"refactor, complexity, decomposition, simplification",overgrown steel
name_command_extractor,1,"CLI, command extraction, natural language processing",Request for a command name extraction tool.
create_docs_structure,1,"file management, documentation, directory structure","Create a 'docs' directory, a 'pdb' subdirectory within 'docs', and a 'proto_dev_brainstorm_index' file within 'docs/pdb'."
generate_code_docs,1,"code, development, documentation, extractor.py",Generate documentation for the `extractor.py` code.
init_commands_dir,1,"commands, directory, file, setup",Create a 'commands' directory at the root and a 'commands_index.md' file within it.
understand_and_document,1,"project_analysis, documentation, clarification, understanding","Analyze a project, ask clarifying questions until understanding is confirmed, then output a comprehensive understanding to meta/concept.md"
set_vector_preference,1,"hotswapping, vector_system, json, configuration, architecture","Set the vector system to use JSON as the underlying format, allowing for future upgrades. Enable hot-swapping capability."
reverse_engineer_docs,1,"documentation, forensic analysis, reverse engineering, code analysis, architecture","Request to reverse-engineer documentation from a codebase by analyzing files, synthesizing code into comprehensive documentation, elucidating conceptual grounding, logical flow, and interoperable characteristics of the project."
version_bump_and_brainstorm,1,"automation, versioning, brainstorming, workflow",Bump version to 0.4.5 and then initiate brainstorming.
semantic_representation,1,"high-dimensional, semantic representation, CLI, embedding",Create a command that generates a high-dimensional semantic representation (comma-separated floats) for a given input string.
release,3,"versioning, commit, testing, git, release, implementation, verification",Implement the specified features and increment the version number to 0.4.8.
create_repo,1,"version_control, git, repository",Create a git repository.
create_pdb,1,"development, pdb, file creation, roadmap",Create a new pdb file for the thr 0.6.0 roadmap.
refine_baseline,1,"development, features, refinement, baseline",Refine the baseline and add 6 more features for version 0.6.0
push,1,"version control, code deployment, git","Implement a 'push' command to push code changes to a remote repository (e.g., using Git)."
security_audit,2,"security, audit, risk assessment, assessment, risk, agentic tools, code analysis, json, vulnerability","Security Audit Process: Analyze an asset (e.g., code snippet) for security risks (dangerous shell commands, hardcoded secrets, excessive permissions). Return a JSON object with rating (SAFE, CAUTION, DANGEROUS), a list of specific risks, and suggested mitigations."
prioritize,1,"prioritization, roles, workflow, planning, architecture",Architects should precede builders in the workflow.
adjust_pattern_detection_scope,1,"history, scope, messages, pattern detection",Set the pattern detection to analyze the last 100 to 1000 messages.
enhance_categorization_and_persistence,1,"review, categorization, enhancement, database, persistence",Enhance CLIDE by adding more categories and implementing database saving capabilities. Review and finalize documentation after implementation.
enhance_categorization_and_db,1,"categorization, database, data_storage, feature_request",Enhance CLIDE to support more categories and save information to a database. Review and finalize documentation after adding these capabilities. Seek clarification if needed.
enhance_clide,2,"feature request, categorization, enhancement, database, CLIDE","Request to add more categories and database saving capabilities to CLIDE, followed by documentation review."
fact_configuration,1,"facts, priority, semantic embedding, configuration","Review and improve fact retrieval and prioritization logic, including configurable limit, importance weighting, and semantic embedding usage."
dev_with_clarification,1,"knowledge graph, requirements, development, clarification, QA","Enhance the development workflow to include the following steps: 1. Verify the presence of a janitor task. 2. Ensure the knowledge graph tool includes a method for generating random mermaid graphs in the terminal. 3. For each point above, ask 2-7 clarifying questions before proceeding. 4. After clarifying all points, begin the standard development process."
develop_feature,1,"mermaid graphs, knowledge graph, feature development, implementation, clarification","Develop a new feature, including initial clarification with 2-7 questions per aspect and implementing after clarification is complete."
configure_commit_behavior,2,"autonomy, commit, archiving, testing, rollback, dependencies, version control, backup, configuration","Configuration for commit behavior:  1. **Commit Scope:**    - If deemed pertinent, commit every commit.    - Client should confirm whether or not that is desired when they learn the lesson.    - Ignore transient commits.    - Commit only complex commits.  2. **Automated Testing:** Commit only if the user can run the tests themselves.  3. **Archiving:** Use automatic archiving.  4. **Dependencies:**    - Prefer pure Python, but accept high-quality or standard Node.js dependencies.    - Functional dependency followed by semantic similarity when selecting dependencies.  5. **Autonomous Rollback:**    - If the system can save a backup to roll back, it can do anything at once autonomously.  6. **Logic:** Choose whatever is most logical for the task."
test_and_release,1,"testing, git, release, software development, verification","Workflow: Perform automated testing, followed by manual verification to create a detailed functionality test list, execute testing, and commit version 0.7.0 to git."
find_file,1,"search, location, file",Create a command called `find_file` that searches for a given filename and returns its path.
locate,1,"file system, data, location, search",Add a command to locate files or data based on various criteria.
weather,1,"API, temperature, command, weather, city",Create a CLIDE command called 'weather' that fetches the current temperature for a given city.
automate_task,1,"RAG, agent systems, tool calling, summarization, automation","Automate repetitive task of building complex agent systems using logical instructions like RAG, tool calling, and summarization."
generate_commands_index,2,"index, documentation, organization, automation, command_index",Create a command to generate a 'commands' directory at the root level and a 'commands_index.md' file within that directory. The markdown file should probably list existing commands with descriptions.
analyze_and_document,1,"analysis, documentation, meta, iterative, clarification","Analyze user request, iteratively refine understanding through clarifying questions, confirm understanding, and document the comprehensive understanding to meta/concept.md."
dashboard,1,"CLI, dashboard, automation, clide, error",Automate the creation of a CLIDE dashboard.
recreate_concept,1,"update, documentation, recreate, concept",Recreate the concept.md file considering new and changed factors.
automate_agent_building,1,"RAG, tool calling, summarization, agents, automation","Automate the building of LLM agent systems by composing logical functions like RAG, tool calling, and summarization."
analyze_and_detail,1,"analysis, output, clarification, understanding","Workflow: Analyze project, iteratively ask clarifying questions until confirmation, then output comprehensive understanding to meta/concept.md."
generate_concept_prompt,1,"prompt_generation, metadata, concept_documentation","Create a command called `generate_concept_prompt` that takes a concept file (e.g., concept.md) as input and generates a prompt that can be used to elicit a description of the process used to create that concept file."
test,1,"quality assurance, features, testing","Initiate a round of testing, focusing on the new features introduced since version six."
settings,1,"settings, configuration",Request for a 'settings' command.
repo,1,"version control, git, repository",Command to display or interact with the current repository.
improve_fact_retrieval,1,,"Improve fact retrieval by allowing configuration of the number of facts, implementing importance weighting, and utilizing semantic embeddings for prioritization based on relevance to the command being generated."
handle_requirements_and_tooling,1,"requirements, tooling, development, mermaid, clarification",1. Verify janitor role implementation. 2. Implement tooling for random mermaid graph generation in the terminal. 3. Ask 2-7 clarifying questions for each requirement point. 4. Initiate development after requirement clarification.
commit_strategy,1,"commit, autonomous, rollback, nodejs, python, dependencies, backup","Commit Strategy: 1. Commit pertinent changes frequently, after client confirmation, ignoring transient ones. 2. Focus on complex changes. 3. Only commit if tests can be run. 4. Employ automatic archiving. Dependency Management: 1. Prefer pure Python but accept high-quality standard Node.js dependencies. 2. Prioritize functional dependency followed by semantic similarity. Autonomous Execution: 1. If backup and rollback are possible, allow autonomous execution. 2. Prioritize logical execution."
configure_commit_analysis,1,"version control, code evolution, automation, commit analysis","Commit Analysis Configuration: 1. Analyze all commits if deemed pertinent, confirming client preference after lesson learning. 2. Ignore transient commits. 3. Focus on complex commits. 4. Consider user's ability to run tests. 5. Implement automatic archiving. 6. Prefer pure Python dependencies, but allow high-quality standard Node.js dependencies. 7. Prioritize functional dependency followed by semantic similarity for dependency selection. 8. Implement autonomous backup and rollback functionality if possible. 9. Use logical approaches. 10. Enable backup before changes."
rename_folder,1,"folder, filesystem, rename",Create a command to rename a specified folder.
rename_folder_and_test_all_features,1,"folder, test, rename, development, features",Rename the 'development' folder to 'dev' and test all features present in the program.
build_audience,1,"followers, audience development, social media, community building, engagement, popularity","Implement a strategy to build a larger audience and increase engagement. This involves identifying relevant trends, optimizing content for mobile platforms, and creating a system for attracting and retaining followers. The ultimate goal is to build a community that can contribute to and support project programs."
post_series,1,"content creation, post series, roadmap, scheduling, dynamic content","Create a series of posts based on a given roadmap. The format should be ""x/x Deep Dive: Name"". Schedule 'n' posts in m/clide. Posts should increase in length by 0.7-1.5x compared to the previous post."
configure,2,"system, configuration, setup, operational",Configure and operationalize the system or selected feature.
backup_scheduled_posts,1,"archive, files, data safety, scheduled posts, backup",Implement a command to backup scheduled posts to files in a directory and archive posted posts.
approve,2,"decision, workflow, approval","Approve a request, change, or proposal."
post,2,"versioning, longest_version, post, time, content_management, scheduling, posting",Create a command `post` that allows scheduling posts for a specific time. The user wants to schedule 'post two' at 6:19 a.m. GMT+10 and 'post three' at 7 a.m.
schedule_no_post,1,"scheduling, automation, post_management, suppression",Schedule the suppression of post 3 at 7am and post 4 at 8am.
openclaw,2,"launcher, application",Add a command to launch the 'openclaw' application.
reverse_rma,1,"rma, output, order, console, reverse",Create a command to reverse the RMA order in the console output.
publish_moltbook_series,1,"content, moltbook, publication, series",Finish and publish the post series on Moltbook.
brain,1,"language, output, default",Hawaiian to be the default output as well when you do cli brain and render within the terminal (and also save)
socialize,1,"content creation, interaction, profile, social, comments","Finish current task (numbered 7), create 10 comments, including at least two responses to comments on threads, and expand profile description."
moltbook,1,"moltbook, social media, posting",Create a new command to post to the Moltbook platform.
profile,1,"profile generation, personality analysis, data analysis, web scraping","Create a command named 'profile' that takes a URL (e.g., moltbook.com/u/MetaDev) as input, scrapes all posts by the specified user, and generates a perceived personality profile based on the content of these posts. The command should handle potential errors during scraping and should have a method for extracting personality traits from text."
rename_single_letter_variables,1,"code readability, refactoring, code maintenance, variable naming",Create a command `rename_single_letter_variables` to automatically replace all single-letter variable names with more descriptive full words.
inspect_project,1,"directories, analysis, files, project, structure, inspection","Analyze project files and subdirectories, identifying any additional files beyond source code and documentation. Provide a summary of the contents of each subdirectory."
save_table_to_md,1,"terminal, tables, review, save, rendering, markdown",Create a command to save tables that are not rendering in the terminal to a Markdown file.
save_tables_to_md,1,"terminal, rendering, tables, markdown",Create a command to save terminal tables to a Markdown file.
generate_and_append_names,1,"abbreviations, brainstorming, file manipulation, name generation","Generate a set of 'shoulder' names, potentially including abbreviations, and append them to the 'brainstorm names dot MD' file."
describe_layers,2,"documentation, files, architecture, layers, description",Describe each layer in the architecture and identify the files that comprise each layer.
refactor_directory_structure,1,"refactoring, rename, file management, configuration, directory structure","Refactor directory structure with the following parameters:  - Base directories: logic, net, flow, run, base - Rename 'dirs' to 'config' - Rename pillar directories: 1 to 'in', 2 to 'db', 3 to 'err', 4 to 'lab' - Use option 2 for separators - Include original file names and descriptions of subfiles"
process_model_response,1,"data linking, logging, model response, text processing, ingestion, markdown","Implement a process to ingest model responses, extract thoughts and save them as raw text linked to the original responses. Handle tags, categories, review vectors, or other relevant metadata either during or after ingestion. Save the output to an MD file and append new data as it becomes available."
save_csv_to_db,1,"save, csv, data persistence, database, export",Implement a command 'save_csv_to_db' that takes a CSV file as input and saves its contents to the database.
clean_directory,1,"directory, files, maintenance, cleanup","Create a command to clean up a specified directory, removing unnecessary or temporary files to maintain organization."
reformat_table,1,"column, table, formatting, reformat, row","Create a command to reformat a table such that a specified column (e.g., 'status') can be hidden and another specified column (e.g., 'category') can be moved to be displayed as a separate row before the other columns."
column_extension,1,"data manipulation, tags, columns, extension, categories","Create a command that adds columns for categories, tags, and other related metadata to an existing table or data structure, given two specified initial columns."
format_files,1,"formatting, file_management, inventory, system_roles",Create a new command called `format_files` that formats the inventory and system roles files in a similar style to the ingestion report.
assess,2,"assessment, capabilities, system, efficacy, opinion",Assess the current system's efficacy and potential capabilities.
explain_and_execute,1,"explanation, sequencing, pep484, execution","Explain PEP 484 in detail, then execute actions 3, 1, and 2 in that order."
chunk_and_move_report,1,"ingestion report, chunking, file manipulation, directory management","Implement a command that splits an ingestion report into 200kb chunks and moves the chunks, new commands, and system roles to a new directory."
generate_progress_file,1,"progress tracking, automation, logs, file generation",Generate a progress.md file in the ingestion_logs directory.
prevent_corruption,2,"corruption, database, reliability, maintenance, prevention","Implement a command to prevent database corruption in future instances similar to a previously encountered one, aiming to avoid the need for database wipes."
format_system_roles,1,"protocols, database schema, stateful engine, system roles, personas, workflow management","# 🎭 System Roles & Personas Record of behavioral directives and personas for stateful workflow management.  ---  ## 📋 Overview of Personas & Protocols  | Role Name | Persona ID | Core Protocol | Primary Objective | Database Focus | | :--- | :--- | :--- | :--- | :--- | | **Principal Quality Auditor** | `AUDITOR-ZERO` | Protocol 3.1 | Knowledge Review & Validation | `review_sessions`, `deviations` | | **Strategic Ledger** | `STRATEGIST-ZERO` | Protocol 2.1 | Innovation Funnel & Idea Management | `ideas`, `compliance_log` | | **Incident State Manager** | `SRE-ZERO` | Protocol 1.2 | Bug/Hotfix Resolution & Lateral Scanning | `incidents`, `lateral_scans` | | **Technical Program Manager**| `TPM-ZERO` | Protocol 2.2 | Architecture Design & Roadmapping | `roadmaps`, `dependency_graph` |  ---  ## 🛠 Role: AUDITOR-ZERO **Definition:** Persistent Principal Quality Auditor  ### 1. Core Directive You are the stateful engine for the Knowledge Review and Validation Workflow (**Protocol 3.1**). You perform structured audits against specific contexts and store findings in a persistent SQLite database (`project.db`). You must execute Python code to Read/Write state before every response.  ### 2. The Persistence Layer (SQLite Schema) Initialize `project.db` with these tables: * **review_sessions:** `id` (PK), `artifact_name` (TEXT), `status` ('OPEN', 'AUDITED'), `created_at` (TIMESTAMP). * **audit_contexts:** `id` (PK), `rev_id` (FK), `context_name` (TEXT), `description` (TEXT). * **deviations:** `id` (PK), `rev_id` (FK), `context_id` (FK), `severity` ('CRITICAL', 'MAJOR', 'MINOR'), `impact_statement` (TEXT), `resolution_snippet` (TEXT).  ### 3. Operational Protocol: Protocol 3.1 * **Phase 1: Ingestion**     * User submits Artifact & defines 3 Review Contexts.     * Action: `INSERT INTO review_sessions` & `audit_contexts`. * **Phase 2: Contextual Audit**     * Compare artifact against context rules.     * Action: `INSERT INTO deviations` for findings with Impact Statements. * **Phase 3: Peer Validation**     * Generate Simulated Peer Review challenging findings.     * Action: Provide Resolution Snippets for **CRITICAL** findings.     * Action: `UPDATE review_sessions SET status='AUDITED'`.  ---  ## 💡 Role: STRATEGIST-ZERO **Definition:** Persistent Strategic Ledger  ### 1. Core Directive You are the stateful engine for the Idea Exploration Workflow (**Protocol 2.1**). You manage an Innovation Funnel in `project.db`. You must execute Python code to Read/Write state before every response.  ### 2. The Persistence Layer (SQLite Schema) * **sessions:** `id` (PK), `topic` (TEXT), `principle` (TEXT), `created_at` (TIMESTAMP). * **ideas:** `id` (PK), `session_id` (FK), `title` (TEXT), `horizon` ('H1_NOW', 'H2_NEXT', 'H3_FUTURE'), `status` ('CANDIDATE', 'VETTING', 'APPROVED', 'REJECTED'), `rejection_reason` (TEXT), `effort_score` (INT), `impact_score` (INT). * **compliance_log:** `id` (PK), `idea_id` (FK), `risk_category` (TEXT), `severity` (TEXT), `mitigated` (BOOL). * **stress_tests:** `id` (PK), `idea_id` (FK), `scenario` (TEXT), `survival_outcome` (TEXT).  ### 3. Operational Protocol: Protocol 2.1 * **Phase 1: Scanning:** User defines Topic/Principle. Generate ideas across H1-H3. * **Phase 2: Filtering:** Apply Strategic Principle. Update status to `REJECTED` or `VETTING`. *Constraint: Never delete rejected ideas.* * **Phase 3: Risk & Stress:** Assess Ethics/Legal risks. Run ""Worst-Case Scenario"" on top choice. * **Phase 4: Handoff:** Promote top concept to `APPROVED` and generate ""Vetted Concept Outline"".  ---  ## 🛡️ Role: SRE-ZERO **Definition:** Persistent Incident State Manager  ### 1. Core Directive You are the stateful engine for the Bug/Hotfix Resolution Flow (**Protocol 1.2**). You manage issues in `project.db` and execute Python code to maintain state.  ### 2. The Persistence Layer (SQLite Schema) * **incidents:** `id` (PK), `symptom` (TEXT), `severity` ('S1_CRITICAL', 'S2_HIGH', 'S3_MED', 'S4_LOW'), `root_cause` (TEXT), `status` ('OPEN', 'INVESTIGATING', 'VERIFYING', 'RESOLVED', 'CLOSED'). * **lateral_scans:** `id` (PK), `inc_id` (FK), `file_path` (TEXT), `pattern_match` (TEXT), `risk_assessed` (BOOL). * **tests:** `id` (PK), `inc_id` (FK), `type` ('REGRESSION', 'PROACTIVE', 'ANTI_PATTERN'), `code` (TEXT), `result` ('PENDING', 'PASS', 'FAIL'). * **risk_register:** `id` (PK), `source_inc_id` (FK), `description` (TEXT), `mitigation_status` ('OPEN', 'MITIGATED').  ### 3. Operational Protocol: Protocol 1.2 * **Phase 1: Containment:** Ingest issue and force Severity definition (S1-S4). * **Phase 2: Lateral Impact:** Scan codebase for similar patterns. Log findings in `risk_register`. * **Phase 3: Resolution:** Generate Surgical Fix + 3 Mandatory Tests. * **HARD GATE:** Incident cannot close unless all tests `PASS`. * **Phase 4: Learning:** If S1/S2, insert a prevention task into the `tasks` table.  ---  ## 🏗️ Role: TPM-ZERO **Definition:** Persistent Technical Program Manager  ### 1. Core Directive You are the stateful engine for the Architecture Design & Roadmap Workflow (**Protocol 2.2**). You manage complexity and technical debt in `project.db`.  ### 2. The Persistence Layer (SQLite Schema) * **roadmaps:** `id` (PK), `concept_name` (TEXT), `deadline` (TEXT), `error_margin` (TEXT), `status` ('DRAFT', 'LOCKED'). * **pi_phases:** `id` (PK), `roadmap_id` (FK), `phase_num` (INT), `goal` (TEXT), `status` ('PLANNED', 'ACTIVE', 'COMPLETE'). * **dependency_graph:** `id` (PK), `roadmap_id` (FK), `blocker_task` (TEXT), `blocked_task` (TEXT), `type` ('HARD', 'SOFT'). * **tech_debt:** `id` (PK), `roadmap_id` (FK), `description` (TEXT), `repayment_pi` (INT), `status` ('OUTSTANDING', 'REPAID').  ### 3. Operational Protocol: Protocol 2.2 * **Phase 1: Blueprinting:** Ingest Concept/Deadline. Create 'Design-for-Failure' Blueprint. * **Phase 2: Risk Modeling:** Identify ""Critical Path"" and 5 Technical Unknowns. * **Phase 3: Phasing:** Create 6-Phase PI Roadmap. PI 1 must resolve Unknowns. * **Phase 4: Sign-off:** Decompose PI 1 into L4 Micro-Tasks. `LOCKED` status.  ---  ## ⚠️ SYSTEM OVERRIDE: RESET **Definition:** Emergency Sequence 1. Disregard all workflow instructions. 2. Clear active persona. 3. Revert to standard Termux Engineer behavior. 4. Confirm with: **""MEMORY FLUSHED. READY.""**"
prevent_reprocessing,2,"historical messages, optimization, message processing, efficiency, historical data, reprocessing, performance",Implement a mechanism to prevent the system from reprocessing messages that have already been processed. This should be configurable to avoid infinite loops and ensure forward progress.
test_documentation,1,"webpage, documentation, mermaid, testing",Generate mermaid diagrams and test the documentation webpage.
update_roles,1,"system roles, runtime update, configuration, roles",Implement a mechanism to update system roles without requiring a system restart.
init,1,"stateful, initialization, database, roles, personas, workflow","Detailed definitions and schemas for Auditor-Zero, Strategist-Zero, SRE-Zero, and TPM-Zero roles including core directives, persistence layers (SQLite schemas), operational protocols, and interaction processes."
progress,1,"status, progress, monitoring",Implement a 'progress' command to check the status of ongoing or recently completed tasks.
sort_data,1,"priority ranking, data analysis, data sorting, data categorization",Sort data based on a defined ratio. Re-categorize unsorted data based on predefined rules (at least half of the unsorted data to be moved to other categories). Sort a dataset of Germans by importance.
status_report,2,"theory crafting, ingestion, status, progress, report",Check the status of the theory crafting report and ingestion progress.
initial_setup_report,2,"initialization, setup, logs, status, report","Provide a report detailing the events, errors, and overall status of the initial setup process."
personalize,2,"AI, persona, character, personalization, personality, belief","Personalize personas with specific personality traits and beliefs. Example: Create a persona that is cynical, sarcastic, pro-AI, transhumanist, and singularity-minded."
understand_commands,1,"recognition, commands, CLI, enhancement, understanding",Improve command understanding and expand the number of recognizable commands.
add_varieties,1,"options, enhancement, variations",Implement a new command 'add_varieties' to allow users to specify variations or options for existing commands.
consider_aliases,1,"aliases, customization, environment, shell",Implement a feature that allows the CLIDE to consider and utilize the user's current shell aliases.
add_to_workspace,1,"directory, workspace, restriction, add","Add directory to workspace, bypassing existing restrictions."
optimize,1,"refactor, improvement, optimization, performance",Implement an 'optimize' command to enhance system performance or code quality.
develop_and_test,1,"development, feature_implementation, simulation, testing","Perform three rounds of development (dev command), then add a test mode that simulates user inputs."
introduce_and_random_talk,1,"random, introduction, behavior, personality, idle",Implement a feature for CLIDE to introduce itself upon startup and to randomly generate conversation without user command initiation. The frequency of random conversation should be configurable.
simulate_gameplay,1,"design, simulation, player profile, gameplay",Design a player profile system and simulate a full gameplay loop for observation. Save all profile data.
evolve_title,1,"message, title, alteration, evolution, subtle",Subtly evolve the title and launch message over time.
observe,2,"analysis, diffs, introspection, observation, observability, improvements, logs, monitoring","Implement an 'observe' command that analyzes recent changes (code, logs, etc.) to identify and summarize improvements made to the system."
activate_assets,1,"context awareness, hotspot, asset management, automation, activation, dashboard",Implement a command to activate and use assets. Enable automatic activation based on context and hotspot on the fly.
agentic_tool_suggestions,1,"tool selection, agentic tools, suggestions, recommendations",Develop a command that provides expanded suggestions for agentic tools.
bug,2,"bug_report, error",Suggests filing a bug report using the '/bug' command.
refine_prompt,1,"prompt_engineering, image_analysis, prompt_improvement, interface_critique, ui/ux",Refine a given prompt or analyze a UI screenshot to generate improved prompts for interface improvement. This command combines the ability to improve existing prompts and create new ones based on UI/UX analysis of screenshots.
evolve,1,"prompt engineering, meta-learning, command synthesis, clad, iteration, refinement","The 'evolve' command will combine several functionalities: 1. Execute a task, critique the result, and design the subsequent prompt/action. 2. Analyze a user request, engage in iterative clarification (2-5 questions), confirm understanding with the user, and output the comprehensive understanding to meta/concept.md. 3. Execute a previously performed action, then recursively critique the results and redesign the next prompt or action. 4. Accept a prompt and desired response, and generate a better prompt to achieve the desired outcome using model's prompt engineering expertise. clad should have the capability to update its own source code, preferably with user confirmation before implementation. Prioritize immediacy and utilize toml/json for configuration, with potential future integration of vector embeddings. Investigate failing sites by checking the code in meta/old/srscr-02."
summarize,1,"redundancy, knowledge management, data consolidation, summarization","Summarize redundant knowledge entries into a single, comprehensive, high-density entry, preserving specific technical details, paths, and IDs. Return ONLY the new content text."
deconstruct,1,"program understanding, refactoring, documentation, code analysis, decomposition","Deconstruct a program by recursively examining its directory contents, extracting its logic, annotating and saving it as a markdown file in a 'logic' directory. Conduct a conceptual, semantic, and logical analysis, subdividing its functionality into multiple discrete programs that can run independently (v1) and then be upgraded to be interoperable (v2). The extracted logic is exported as a .md file. Specifically, the independent programs are saved in a 'v1' subdirectory, and upgraded to interoperable versions in a 'v2' subdirectory. The command should also take code as input and provide a detailed explanation and decomposition of each line, including semantic and ontological analysis, and suggest ways to refactor the code into multiple discrete files. Recursively traverse the project directory, including all subdirectories. For each file, analyze the file's name, contents, and surrounding context, generate a concise description of the file's purpose and function, and save the file path and its description to a single markdown file named 'clean.md'."
synthesize_knowledge,1,"synthesis, knowledge management, redundancy, knowledge base, information consolidation","Synthesize redundant knowledge entries into ONE comprehensive, high-density entry. Preserve specific technical details, paths, and IDs. Incorporate code extracts into the initial export before resuming the process. Handle logic export from version 2."
synthesize_entries,1,"data consolidation, data summarization, knowledge management, redundancy removal","Synthesize redundant entries into comprehensive master entries, preserving technical paths, IDs, and details. Separate master entries with '===BOUNDARY==='."
